Interval,Open,High,Low,Close,Volume
0,418.29683381812146,418.573419613077,417.10453312686434,417.3426300043942,0.0
1,417.2092025425729,417.35302457217404,416.97813494997985,417.21416161066855,847321.9233268397
2,416.7969474490579,417.1100670791123,415.8063438076351,415.9691415888984,262121.84462553822
3,415.5531724473095,415.8076269437832,414.48942133722403,414.68493870405564,2478069.7551884493
4,414.2702537653516,414.9927656392998,414.20841417105987,414.8148582747533,2010031.996673032
5,414.77591173999735,415.12692644726775,414.4347922993286,414.7473425605464,542559.9345638107
6,414.33259521798584,416.24091364466693,414.15317201419265,416.0272942210139,882532.7529116633
7,415.73449280285695,416.0420982720811,414.73452219459676,415.0536370640041,0.0
8,415.46869070106806,417.0858534578652,415.4213726041057,416.9366517511628,927380.3760716845
9,417.21608521666394,418.3573018173312,417.09187693814374,418.0328795590022,1088721.2492219554
10,418.07288950552356,420.0471782234266,417.74890731281204,419.9294104688216,2191082.4362945063
11,419.8359022072543,421.1436411234695,419.6014347107978,420.9471524567268,1905806.6272869275
12,420.5262053042701,421.5492703849171,420.48410560574956,421.27261202549676,589469.8987000388
13,421.2429083790517,422.51148613603897,421.1063555532918,422.4870085608441,1866616.8401315105
14,422.0645215522833,422.40466701192895,420.82797451439444,421.2229597915445,0.0
15,420.88011833330387,421.0533621337164,419.1811602955017,419.3791981555854,844291.8830758692
16,419.79857735374094,420.1531534188545,417.56090864415387,417.80058943231984,428707.1034148681
17,418.2183900217521,418.30123776866003,417.99602277781395,418.0831183404825,0.0
18,417.7151330734245,418.39048587296054,417.5093313122308,418.3352513188213,2851919.4480148405
19,417.9169160675025,418.35140249890014,417.5701425515376,418.1203605182856,2247663.4526631744
20,417.81975713790854,417.88291697192415,416.89882319028385,417.28790184203154,0.0
21,417.00717232329487,417.3418733511456,416.6179838805439,416.71522126843837,849474.0628446187
22,416.29850604716995,418.8030634801227,415.9627785961125,418.6057742281997,1750153.635255395
23,418.3395174527213,418.6153915099363,416.0758315919197,416.32388392321263,3419943.5730264382
24,416.5523866330021,416.9857325564344,416.32563039467567,416.76272159142025,925169.3776001991
25,417.17948431301164,417.4386929161777,416.8503601681967,417.12964722569365,4310614.213919493
26,417.22255629740584,417.4498216242221,415.03157121513635,415.22134677641634,899914.7828930604
27,414.8061254296399,417.3500796930008,414.5580856337398,417.10512232873424,0.0
28,416.9964595164758,417.03566122714693,416.31649445766067,416.589001790568,1347208.8636868824
29,416.67197110776294,416.9188821715734,414.2615558495694,414.3181052504932,1480038.90013255
30,414.398550879933,414.42361928445166,413.92181118051246,414.09266000268883,1126140.6145507698
31,413.94122265019973,416.1428661111374,413.6067334847406,415.7802319381312,1460271.2322513433
32,415.36445170619305,417.2203785583993,415.35276685279536,416.97594966494864,1576836.48037375
33,416.680103026792,416.9870358949834,416.2891432335658,416.411033022675,1703105.0167776847
34,416.82744405569764,416.98549919881975,415.32383025082765,415.4833457814613,644073.9104570406
35,415.5848438974271,417.7817775794863,415.36495613249747,417.3683099704528,0.0
36,416.95094166048233,417.1164373404323,416.87915029805026,417.03701005194284,1967242.0440982203
37,417.45404706199474,418.9365020870678,417.10436919693205,418.667802976557,1463224.3188190428
38,418.84046170232403,419.2341733381511,418.1983289606174,418.32433835732854,738864.2843570604
39,417.90601401897123,420.6417073468745,417.77439855603245,420.2221915569653,1809656.2282341002
40,419.80838270146376,421.7781461217344,419.4277520892743,421.414334530199,2496612.215605004
41,421.4816869143199,423.5212438523784,421.1049830663592,423.3262064196079,0.0
42,423.0575181647727,425.61267281631314,422.7841067432088,425.2467520863945,1482650.4458665182
43,425.6719988384809,425.70882647146686,424.6245824089181,424.6343871293486,2945231.2142608864
44,424.5356431482745,424.785567235441,423.32985410114105,423.47190377018944,1341108.726106274
45,423.8036542422589,424.1215938997075,423.52038539096844,423.6396297091066,826278.0185447372
46,423.2159900793975,423.6200421767517,422.7342999843919,422.753793739964,1809950.5362564237
47,423.0313368489558,423.24116720030327,423.00263866883535,423.0661444734593,1222622.9623670888
48,423.0370217238615,423.06964503900605,422.55044966411265,422.74758605194154,1529834.7138756122
49,422.7529170117399,423.35804857363894,422.58466072165993,423.17693716393273,0.0
50,422.7537602267688,425.3177073743736,422.4270026307323,425.0968056261952,1612594.738570142
51,425.52190243182133,425.72166531776276,423.2800012996513,423.51253084869114,171735.30221539654
52,423.27578787716493,423.6985622788691,421.5668753755528,421.9451132765665,1084163.1075931715
53,422.0813772080514,422.1075154356234,420.6889047105282,421.0196128278667,793731.4585936156
54,420.81050223763236,421.20426651039105,419.84590021484104,420.0203031201816,526942.2208380977
55,420.0058920373079,420.25059291128343,419.8316409496132,420.2034670883104,0.0
56,419.8840081481361,419.9963415013117,419.2874072472876,419.3015359475438,2904155.4119961755
57,418.931233340768,420.317468249078,418.6916380409272,420.2237256688094,1248647.7446823518
58,420.394050634014,421.6737400685001,420.1460216356592,421.5565251631572,0.0
59,421.3922505809951,423.43425588952863,420.97411515981486,423.3559404455157,1044339.9041033738
60,423.36178677276473,425.68758426457686,423.157892085476,425.2766210095843,1664305.1299414267
61,425.00642158898046,425.42046832093274,422.69359490883375,422.9583667996211,852452.7209188861
62,423.38132516642065,423.6714433400028,422.56545988338473,422.6865199624009,1222751.9038874747
63,422.662717505406,424.0054204161081,422.5155260128494,423.6390926146464,81660.96757934336
64,423.6789016067852,425.64211899271373,423.4234293497552,425.51314082879503,300163.56486060715
65,425.72126735432437,427.10235688320245,425.3371417872648,426.76216004896656,2733255.2985455804
66,426.59879592369913,426.63741153032663,424.73307638846177,425.15805889178483,2614486.177215268
67,425.3674242014526,425.7112162879571,423.58120576252554,423.9767026258863,1273362.4659697686
68,423.86648751242086,424.2775748096307,421.4721273602066,421.6655344891205,0.0
69,421.86575552238236,422.27308393014295,420.59004687028687,420.77381874541516,1212314.9394253776
70,420.58479621229225,422.0386468501159,420.1753590726843,421.67105060567206,1020671.0902217979
71,421.3617085789383,421.3701828823758,420.5122422556787,420.7150358017792,1757757.3130747336
72,420.41362055407006,421.747986978712,420.1715616122976,421.63245029034164,1818745.121366696
73,421.7325997218064,423.5248942740633,421.556707825353,423.4902850148255,1604749.5587007198
74,423.8188445785624,423.9508654313816,422.87764009092,423.14919724210546,632874.3250385197
75,422.7260480448634,422.81664269882407,422.034223107083,422.42683198386527,1051735.207259463
76,422.0250746991465,423.170408192639,421.9502262414997,423.0044456387144,1101634.523995673
77,422.6403813879738,424.9804893811567,422.3327938979834,424.92353154169683,0.0
78,424.93806405953995,425.04983826477,422.74878404648587,422.98026124157246,1655826.6716143882
79,423.03601084306,424.2745078801522,422.8494398758132,424.00581465890383,0.0
80,424.3016927105157,425.3114144094664,424.03612093145955,424.9539898351149,1299790.9727247609
81,424.5290358452798,425.10422549015385,424.5255400560641,424.99409699091177,1878643.3231718808
82,424.6039115392321,424.62823128955546,422.48640553898167,422.67738286677354,1921468.1554190463
83,423.10006024964025,423.126816029328,421.2905988566726,421.4943278167073,1130404.217619876
